"ab_idx","all_names"
"711","COV2-2709"
"712","COV2-2710"
"713","COV2-2713"
"714","COV2-2717"
"715","COV2-2718"
"716","COV2-2722"
"717","COV2-2726"
"718","COV2-2730"
"719","COV2-2733"
"720","COV2-2734"
"721","COV2-2736"
"722","COV2-2740"
"723","COV2-2749"
"724","COV2-2751"
"725","COV2-2752"
"726","COV2-2753"
"727","COV2-2756"
"728","COV2-2758"
"729","COV2-2759"
"730","COV2-2760"
"731","COV2-2762"
"732","COV2-2765"
"733","COV2-2767"
"734","COV2-2768"
"735","COV2-2769"
"736","COV2-2774"
"737","COV2-2776"
"738","COV2-2780"
"739","COV2-2783"
"740","COV2-2784"
"741","COV2-2786"
"742","COV2-2789"
"743","COV2-2790"
"744","COV2-2794"
"745","COV2-2796"
"746","COV2-2797"
"747","COV2-2801"
"748","COV2-2807"
"749","COV2-2808"
"750","COV2-2809"
"751","COV2-2811"
"752","COV2-2812"
"753","COV2-2813"
"754","COV2-2814"
"755","COV2-2816"
"756","COV2-2817"
"757","COV2-2818"
"758","COV2-2819"
"759","COV2-2820"
"760","COV2-2821"
"761","COV2-2822"
"762","COV2-2826"
"763","COV2-2828"
"764","COV2-2830"
"765","COV2-2832"
"766","COV2-2834"
"767","COV2-2835"
"768","COV2-2838"
"769","COV2-2841"
"770","COV2-2842"
"771","COV2-2844"
"772","COV2-2848"
"773","COV2-2853"
"774","COV2-2863"
"775","COV2-2872"
"776","COV2-2873"
"777","COV2-2878"
"778","COV2-2883"
"779","COV2-2891"
"780","COV2-2894"
"781","COV2-2901"
"782","COV2-2904"
"783","COV2-2906"
"784","COV2-2909"
"785","COV2-2911"
"786","COV2-2919"
"787","COV2-2933"
"788","COV2-2934"
"789","COV2-2939"
"790","COV2-2941"
"791","COV2-2942"
"792","COV2-2944"
"793","COV2-2945"
"794","COV2-2947"
"795","COV2-2952"
"796","COV2-2953"
"797","COV2-2955"
"798","COV2-2960"
"799","COV2-2961"
"800","COV2-2997"
"801","COV2-3010"
"802","COV2-3012"
"803","COV2-3013"
"804","COV2-3025"
"805","COV2-3029"
"806","COV2-3057"
"807","COV2-3058"
"808","CR3022"
"809","CS1"
"810","CS102"
"811","CS114"
"812","CS115"
"813","CS116"
"814","CS12"
"815","CS123"
"816","CS124"
"817","CS125"
"818","CS127"
"819","CS129"
"820","CS131"
"821","CS134"
"822","CS136"
"823","CS139"
"824","CS143"
"825","CS15"
"826","CS153"
"827","CS155"
"828","CS156"
"829","CS158"
"830","CS161"
"831","CS163"
"832","CS165"
"833","CS169"
"834","CS170"
"835","CS172"
"836","CS176"
"837","CS179"
"838","CS180"
"839","CS181"
"840","CS182"
"841","CS23"
"842","CS24"
"843","CS26"
"844","CS27"
"845","CS29"
"846","CS34"
"847","CS37"
"848","CS39"
"849","CS4"
"850","CS40"
"851","CS41"
"852","CS42"
"853","CS43"
"854","CS44"
"855","CS46"
"856","CS52"
"857","CS54"
"858","CS59"
"859","CS65"
"860","CS8"
"861","CS82"
"862","CS87"
"863","CS90"
"864","CS91"
"865","CS92"
"866","CV-X1-126"
"867","CV-X2-106"
"868","CV05-163"
"869","CV07-200"
"870","CV07-209"
"871","CV07-222"
"872","CV07-250"
"873","CV07-255"
"874","CV07-262"
"875","CV07-270"
"876","CV07-283"
"877","CV07-287"
"878","CV07-315"
"879","CV1-1;CV1"
"880","CV1-10;CV10"
"881","CV1-11;CV11"
"882","CV1-12;CV12"
"883","CV1-13;CV13"
"884","CV1-15;CV15"
"885","CV1-16;CV16"
"886","CV1-17;CV17"
"887","CV1-18;CV18"
"888","CV1-19;CV19"
"889","CV1-2;CV2"
"890","CV1-21;CV21"
"891","CV1-22;CV22"
"892","CV1-23;CV23"
"893","CV1-24;CV24"
"894","CV1-25;CV25"
"895","CV1-26;CV26"
"896","CV1-27;CV27"
"897","CV1-28;CV28"
"898","CV1-29;CV29"
"899","CV1-3;CV3"
"900","CV1-30;CV30"
"901","CV1-31;CV31"
"902","CV1-32;CV32"
"903","CV1-33;CV33"
"904","CV1-34;CV34"
"905","CV1-35;CV35"
"906","CV1-36;CV36"
"907","CV1-37;CV37"
"908","CV1-38;CV38"
"909","CV1-39;CV39"
"910","CV1-4;CV4"
"911","CV1-40;CV40"
"912","CV1-41;CV41"
"913","CV1-42;CV42"
"914","CV1-43;CV43"
"915","CV1-44;CV44"
"916","CV1-45;CV45"
"917","CV1-46;CV46"
"918","CV1-47;CV47"
"919","CV1-48;CV48"
"920","CV1-5;CV5"
"921","CV1-50;CV50"
"922","CV1-6;CV6"
"923","CV1-7;CV7"
"924","CV1-8;CV8"
"925","CV1-9;CV9"
"926","CV1182"
"927","CV1206"
"928","CV2-75"
"929","CV3-1"
"930","CV3-25"
"931","CV38-113"
"932","CV38-139"
"933","CV38-142"
"934","CV38-183"
"935","CV38-221"
"936","CV503"
"937","CV576"
"938","CV664"
"939","CV993"
"940","CnC2t1p1_B10"
"941","CnC2t1p1_B4"
"942","CnC2t1p1_D6"
"943","CnC2t1p1_E12"
"944","CnC2t1p1_E8"
"945","CnC2t1p1_G6"
"946","D14"
"947","F05"
"948","F10"
"949","F20"
"950","Fab1-20;1-20"
"951","Fab1-57"
"952","Fab1-68"
"953","Fab1-87"
"954","Fab2-15"
"955","Fab2-17"
"956","Fab2-30"
"957","Fab2-36"
"958","Fab2-38"
"959","Fab2-4;2-4"
"960","Fab2-43"
"961","Fab2-51"
"962","Fab2-7"
"963","Fab4-18"
"964","Fab4-19"
"965","Fab4-20"
"966","Fab4-8;4-8"
"967","Fab5-24"
"968","Fab5-7"
"969","FnC1t1p2_A5"
"970","FnC1t2p1_D4"
"971","FnC1t2p1_G5"
"972","G12"
"973","G32A12"
"974","G32A3"
"975","G32A4"
"976","G32A8"
"977","G32B1"
"978","G32B2"
"979","G32B4"
"980","G32B6"
"981","G32C4"
"982","G32C5"
"983","G32L2"
"984","G32L6"
"985","G32L7"
"986","G32L8"
"987","G32M1"
"988","G32M2"
"989","G32M4"
"990","G32M5"
"991","G32Q1"
"992","G32Q2"
"993","G32Q3"
"994","G32Q4"
"995","G32Q6"
"996","G32R10"
"997","G32R7"
"998","H20"
"999","Hauser_Ab15"
"1000","Hauser_Ab16"
"1001","Hauser_Ab17"
"1002","Hauser_Ab19"
"1003","Hauser_Ab20"
"1004","HbnC2t1p2_D9"
"1005","HbnC3t1p1_C6"
"1006","HbnC3t1p1_F4"
"1007","HbnC3t1p1_G4"
"1008","HbnC3t1p2_B10"
"1009","HbnC3t1p2_C6"
"1010","HbnC4t1p1_D5"
"1011","I14"
"1012","I15"
"1013","I21"
"1014","J08"
"1015","J13"
"1016","K7.13"
"1017","K7.19"
"1018","KA1"
"1019","KA1.ep1"
"1020","KC1"
"1021","KC3"
"1022","KC3.ep3"
"1023","KC3.ep5"
"1024","L19"
"1025","MnC1t3p1_G9"
"1026","MnC2t1p1_A3"
"1027","MnC2t1p1_C5"
"1028","MnC2t2p1_C11"
"1029","MnC4t1p1_A10"
"1030","MnC4t1p1_A11"
"1031","MnC4t2p1_B3"
"1032","MnC4t2p1_D10"
"1033","MnC4t2p1_E6"
"1034","MnC4t2p1_F5"
"1035","MnC4t2p2_A4"
"1036","MnC5t2p1_G1"
"1037","NT-108"
"1038","NT-193"
"1039","P003_001"
"1040","P003_002"
"1041","P003_003"
"1042","P003_006"
"1043","P003_007"
"1044","P003_014"
"1045","P003_015"
"1046","P003_016"
"1047","P003_017"
"1048","P003_022"
"1049","P003_026"
"1050","P003_027"
"1051","P003_030"
"1052","P003_032"
"1053","P003_034"
"1054","P003_038"
"1055","P003_043"
"1056","P003_045"
"1057","P003_051"
"1058","P003_053"
"1059","P003_055"
"1060","P003_056"
"1061","P003_058"
"1062","P003_064"
"1063","P008_001"
"1064","P008_002"
"1065","P008_003"
"1066","P008_004"
"1067","P008_005"
"1068","P008_006"
"1069","P008_007"
"1070","P008_010"
"1071","P008_011"
"1072","P008_012"
"1073","P008_014"
"1074","P008_015"
"1075","P008_016"
"1076","P008_018"
"1077","P008_022"
"1078","P008_023"
"1079","P008_024"
"1080","P008_032"
"1081","P008_035"
"1082","P008_036"
"1083","P008_038"
"1084","P008_039"
"1085","P008_040"
"1086","P008_042"
"1087","P008_044"
"1088","P008_045"
"1089","P008_047"
"1090","P008_051"
"1091","P008_052"
"1092","P008_055"
"1093","P008_056"
"1094","P008_057"
"1095","P008_060"
"1096","P008_062"
"1097","P008_064"
"1098","P008_065"
"1099","P008_067"
"1100","P008_068"
"1101","P008_070"
"1102","P008_071"
"1103","P008_072"
"1104","P008_073"
"1105","P008_076"
"1106","P008_077"
"1107","P008_079"
"1108","P008_080"
"1109","P008_081"
"1110","P008_082"
"1111","P008_083"
"1112","P008_085"
"1113","P008_086"
"1114","P008_087"
"1115","P008_088"
"1116","P008_090"
"1117","P008_091"
"1118","P008_092"
"1119","P008_093"
"1120","P008_095"
"1121","P008_096"
"1122","P008_099"
"1123","P008_100"
"1124","P008_102"
"1125","P008_103"
"1126","P008_108"
"1127","P054_002"
"1128","P054_003"
"1129","P054_004"
"1130","P054_005"
"1131","P054_006"
"1132","P054_009"
"1133","P054_012"
"1134","P054_015"
"1135","P054_017"
"1136","P054_021"
"1137","P054_022"
"1138","P054_026"
"1139","P054_027"
"1140","P054_031"
"1141","P054_036"
"1142","P054_044"
"1143","P054_045"
"1144","P054_048"
"1145","P054_050"
"1146","PGT-121"
"1147","PGT-126"
"1148","PGT-128"
"1149","R121-1B5"
"1150","R121-1C10"
"1151","R121-1D2"
"1152","R121-1F1"
"1153","R121-3A3"
"1154","R121-3B8"
"1155","R121-3C12"
"1156","R121-3F1"
"1157","R121-3F11"
"1158","R121-3F7"
"1159","R121-3G10"
"1160","R121-3G2"
"1161","R121-3H4"
"1162","R121-3H6"
"1163","R200-1B8"
"1164","R200-1B9"
"1165","R200-1E4"
"1166","R200-1F9"
"1167","R200-1G11"
"1168","R200-4A7"
"1169","R200-4C1"
"1170","R200-4E3"
"1171","R200-4E9"
"1172","R200-4F4"
"1173","R207-1C1"
"1174","R207-1C4"
"1175","R207-1G1"
"1176","R207-1G10"
"1177","R207-2A10"
"1178","R207-2A5"
"1179","R207-2A6"
"1180","R207-2C2"
"1181","R207-2F11"
"1182","R207-2F12"
"1183","R207-2G4"
"1184","R207-2H1"
"1185","R259-1A4"
"1186","R259-1B9"
"1187","R259-1F2"
"1188","R259-1F4"
"1189","R259-3A5"
"1190","R259-3A6"
"1191","R259-3C6"
"1192","R259-3D1"
"1193","R259-3D2"
"1194","R259-3E12"
"1195","R259-3E7"
"1196","R259-3F2"
"1197","R259-3G9"
"1198","R339-1A4"
"1199","R339-1B11"
"1200","R339-1F5"
"1201","R339-1G10"
"1202","R339-3A7"
"1203","R339-3B5"
"1204","R339-3B6"
"1205","R339-3C6"
"1206","R339-3G4"
"1207","R40-1A1"
"1208","R40-1A10"
"1209","R40-1A8"
"1210","R40-1B4"
"1211","R40-1B9"
"1212","R40-1C8"
"1213","R40-1D3"
"1214","R40-1D4"
"1215","R40-1E1"
"1216","R40-1E4"
"1217","R40-1G12"
"1218","R40-1G6"
"1219","R40-1G8"
"1220","R40-1H4"
"1221","R410-1A8"
"1222","R410-1B8"
"1223","R410-1C7"
"1224","R410-1D8"
"1225","R410-1H2"
"1226","R410-3A10"
"1227","R410-3D10"
"1228","R410-3E11"
"1229","R410-3F2"
"1230","R410-3G12"
"1231","R410-3G3"
"1232","R410-3H9"
"1233","R568-1A9"
"1234","R568-1B3"
"1235","R568-1C6"
"1236","R568-1E8"
"1237","R568-1G9"
"1238","R568-2A1"
"1239","R568-2A3"
"1240","R568-2A9"
"1241","R568-2B11"
"1242","R568-2B9"
"1243","R568-2E1"
"1244","R568-2E7"
"1245","R568-2F1"
"1246","R568-2G11"
"1247","R568-2G5"
"1248","R616-1A11"
"1249","R616-1A12"
"1250","R616-1A2"
"1251","R616-1A7"
"1252","R616-1A9"
"1253","R616-1B6"
"1254","R616-1C7"
"1255","R616-1D10"
"1256","R616-1D2"
"1257","R616-1D6"
"1258","R616-1E6"
"1259","R616-1F10"
"1260","R616-1G4"
"1261","R616-1G8"
"1262","R849-1C11"
"1263","R849-1D7"
"1264","R849-1F9"
"1265","R849-1G7"
"1266","R849-1H1"
"1267","R849-3A9"
"1268","R849-3B4"
"1269","R849-3D8"
"1270","R849-3H2"
"1271","SARS2-38"
"1272","Shiakolas_5317-1"
"1273","Shiakolas_5317-10"
"1274","Shiakolas_5317-2"
"1275","Shiakolas_5317-3"
"1276","Shiakolas_5317-4"
"1277","Shiakolas_5317-5"
"1278","Shiakolas_5317-6"
"1279","Shiakolas_5317-7"
"1280","Shiakolas_5317-8"
"1281","Shiakolas_5317-9"
"1282","Shiakolas_53181-1"
"1283","Shiakolas_53181-2"
"1284","Shiakolas_53181-3"
"1285","Shiakolas_53181-4"
"1286","Shiakolas_53181-5"
"1287","Shiakolas_53181-7"
