"ab_idx","chain","V gene","source"
"1270","H","IGHV3-30","collected"
"1270","L","IGKV1-39","collected"
"1271","H","IGHV4-4","collected"
"1271","L","IGKV3-11","collected"
"1272","H","IGHV1-58","collected"
"1272","L","IGLV1-44","collected"
"1273","H","IGHV5-10-1","collected"
"1273","L","IGKV2-28","collected"
"1274","H","IGHV1-69","collected"
"1274","L","IGKV1-39","collected"
"1275","H","IGHV3-64D","collected"
"1275","L","IGKV1-39","collected"
"1276","H","IGHV4-34","collected"
"1276","L","IGKV3D-20","collected"
"1277","H","IGHV1-69","collected"
"1277","L","IGLV1-40","collected"
"1278","H","IGHV4-39","collected"
"1278","L","IGKV1-39","collected"
"1279","H","IGHV3-7","collected"
"1279","L","IGKV3-20","collected"
"127","H","IGHV1-69","collected"
"127","L","IGKV1-39","collected"
"1280","H","IGHV3-30","collected"
"1280","L","IGLV3-1","collected"
"1281","H","IGHV1-69","collected"
"1281","L","IGKV3-11","collected"
"1282","H","IGHV1-18","collected"
"1282","L","IGKV3D-20","collected"
"1283","H","IGHV1-18","collected"
"1283","L","IGKV3D-20","collected"
"1284","H","IGHV1-69","collected"
"1284","L","IGKV3D-20","collected"
"1285","H","IGHV3-33","collected"
"1285","L","IGLV3-10","collected"
"1286","H","IGHV4-59","collected"
"1286","L","IGKV3D-20","collected"
"1287","H","IGHV3-23","collected"
"1287","L","IGLV2-14","collected"
"1288","H","IGHV3/OR15-7","collected"
"1288","L","IGKV2-28","collected"
"1289","H","IGHV3-30","collected"
"1289","L","IGLV2-14","collected"
"128","H","IGHV3-66","collected"
"128","L","IGKV1-39","collected"
"1290","H","IGHV3-66","collected"
"1290","L","IGKV1-9","collected"
"1291","H","IGHV3-9","collected"
"1291","L","IGKV1-33","collected"
"1292","H","IGHV3-66","collected"
"1292","L","IGLV2-23","collected"
"1293","H","IGHV2-5","collected"
"1293","L","IGKV2-28","collected"
"1294","H","IGHV1-69","collected"
"1294","L","IGKV1-9","collected"
"1295","H","IGHV3-66","collected"
"1295","L","IGLV2-23","collected"
"1296","H","IGHV3-23","collected"
"1296","L","IGKV3D-20","collected"
"1297","H","IGHV4-39","collected"
"1297","L","IGKV4-1","collected"
"1298","H","IGHV3-66","collected"
"1298","L","IGKV1-9","collected"
"1299","H","IGHV4-39","collected"
"1299","L","IGKV3D-20","collected"
"129","H","IGHV3-15","collected"
"129","L","IGKV4-1","collected"
"12","H","IGHV1-18","collected"
"12","L","IGKV4-1","collected"
"1300","H","IGHV7-4-1","collected"
"1300","L","IGKV3D-20","collected"
"1301","H","IGHV1-3","collected"
"1301","L","IGLV2-8","collected"
"1302","H","IGHV3-23","collected"
"1302","L","IGKV2-30","collected"
"1303","H","IGHV4-59","collected"
"1303","L","IGLV3-1","collected"
"1304","H","IGHV3-21","collected"
"1304","L","IGKV3-15","collected"
"1305","H","IGHV3-66","collected"
"1305","L","IGKV1-5","collected"
"1306","H","IGHV4-38-2","collected"
"1306","L","IGLV1-40","collected"
"1307","H","IGHV3-30","collected"
"1307","L","IGLV6-57","collected"
"1308","H","IGHV4-61","collected"
"1308","L","IGKV3D-20","collected"
"1309","H","IGHV4-34","collected"
"1309","L","IGLV2-14","collected"
"130","H","IGHV1-58","collected"
"130","L","IGKV3D-20","collected"
"1310","H","IGHV1-3","collected"
"1310","L","IGKV1-27","collected"
"1311","H","IGHV1-3","collected"
"1311","L","IGKV1-33","collected"
"1312","H","IGHV1-18","collected"
"1312","L","IGKV3-11","collected"
"1313","H","IGHV3-23","collected"
"1313","L","IGLV3-21","collected"
"1314","H","IGHV4-39","collected"
"1314","L","IGLV3-21","collected"
"1315","H","IGHV3-23","collected"
"1315","L","IGLV3-25","collected"
"1316","H","IGHV1-2","collected"
"1316","L","IGLV2-23","collected"
"1317","H","IGHV1-46","collected"
"1317","L","IGLV1-44","collected"
"1318","H","IGHV3-23","collected"
"1318","L","IGLV3-25","collected"
"1319","H","IGHV3-66","collected"
"1319","L","IGKV1-9","collected"
"131","H","IGHV3-21","collected"
"131","L","IGKV3/OR2-268","collected"
"1320","H","IGHV3-23","collected"
"1320","L","IGLV2-14","collected"
"1321","H","IGHV1-24","collected"
